Checkpoint,Time (s),Packets Received,Missing Packets,Goodput (%),Packet Rate (pkts/s)
1,0.02,1001,7,99.31,
2,0.03,2001,7,99.65,78459.8
3,0.03,3000,12,99.6,179233.03
4,0.04,4000,16,99.6,181949.68
5,0.05,5003,21,99.58,191553.0
6,0.05,6002,30,99.5,195233.89
7,0.06,7001,35,99.5,185896.61
8,0.06,8003,41,99.49,189310.48
9,0.07,9001,47,99.48,188469.85
10,0.07,10001,51,99.49,186396.94
11,0.08,11003,61,99.45,182187.13
12,0.08,12000,64,99.47,200034.49
13,0.09,13000,72,99.45,189641.63
14,0.09,14002,82,99.42,184880.02
15,0.1,15003,93,99.38,179938.21
16,0.1,16001,99,99.39,163365.55
17,0.11,17002,102,99.4,184850.01
18,0.12,18002,106,99.41,193464.21
19,0.12,19002,110,99.42,184429.87
20,0.13,20003,117,99.42,189189.72
21,0.13,21002,122,99.42,198339.0
22,0.14,22002,126,99.43,184706.01
23,0.14,23001,131,99.43,189238.09
24,0.15,24001,139,99.42,200004.96
25,0.15,25003,145,99.42,188630.73
26,0.16,26003,145,99.45,183117.4
27,0.16,27003,149,99.45,199358.52
28,0.17,28003,157,99.44,189248.03
29,0.17,29002,166,99.43,186733.35
30,0.18,30000,176,99.42,195493.9
31,0.18,31002,190,99.39,195428.63
32,0.19,32000,196,99.39,184304.13
33,0.19,33002,202,99.39,197244.69
34,0.2,34000,208,99.39,193219.88
35,0.2,35000,216,99.39,185432.78
36,0.21,36001,223,99.38,195506.32
37,0.21,37002,226,99.39,202591.12
38,0.22,38001,231,99.4,187602.85
39,0.23,39001,231,99.41,194857.33
40,0.23,40000,236,99.41,201894.08
41,0.24,41000,244,99.41,192355.15
42,0.24,42000,248,99.41,185015.62
43,0.25,43001,259,99.4,199311.57
44,0.25,44000,264,99.4,197665.33
45,0.26,45000,268,99.41,185089.1
46,0.26,46000,276,99.4,195839.94
47,0.27,47000,280,99.41,200281.92
48,0.27,48003,289,99.4,183466.5
49,0.28,49003,293,99.41,191967.78
50,0.28,50002,298,99.41,195662.37
51,0.29,51003,305,99.41,182527.53
52,0.29,52001,311,99.41,194052.91
53,0.3,53002,318,99.4,201850.88
54,0.3,54001,319,99.41,187990.03
55,0.31,55003,321,99.42,196323.29
56,0.31,56000,328,99.42,201577.3
57,0.32,57002,334,99.42,191222.7
58,0.32,58002,342,99.41,187647.82
59,0.33,59003,345,99.42,201899.41
60,0.33,60000,356,99.41,199757.38
61,0.34,61001,363,99.41,178401.39
62,0.34,62002,378,99.39,194825.91
63,0.35,63002,386,99.39,194893.55
64,0.35,64000,388,99.4,185291.28
65,0.36,65002,390,99.4,196856.65
66,0.36,66002,398,99.4,198857.58
67,0.37,67001,399,99.41,187217.27
68,0.38,68001,403,99.41,194775.89
69,0.38,69002,406,99.42,199122.52
70,0.39,70002,406,99.42,190980.06
71,0.39,71002,414,99.42,191389.64
72,0.4,72003,417,99.42,201173.85
73,0.4,73000,420,99.43,192537.46
74,0.41,74000,424,99.43,187900.01
75,0.41,75002,430,99.43,199283.64
76,0.42,76001,435,99.43,196037.7
77,0.42,77003,441,99.43,186042.17
78,0.43,78000,444,99.43,197661.24
79,0.43,79002,450,99.43,197161.41
80,0.44,80000,452,99.44,185332.3
81,0.44,81003,457,99.44,197284.14
82,0.45,82000,460,99.44,200716.19
83,0.45,83001,467,99.44,191179.74
84,0.46,84003,469,99.44,192000.21
85,0.46,85001,475,99.44,200196.82
86,0.47,86000,484,99.44,194662.47
87,0.47,87001,491,99.44,186541.89
88,0.48,88003,497,99.44,204909.44
89,0.48,89003,501,99.44,199919.16
90,0.49,90003,501,99.45,193303.71
91,0.49,91001,507,99.45,203842.97
92,0.5,92001,515,99.44,195547.76
93,0.5,93001,515,99.45,186008.43
94,0.51,94000,516,99.45,195616.7
95,0.51,95000,524,99.45,198218.53
96,0.52,96003,529,99.45,187089.16
97,0.52,97002,538,99.45,188990.56
98,0.53,98001,543,99.45,202313.25
99,0.53,99001,551,99.45,191023.55
100,0.54,100002,558,99.45,190555.0
101,0.54,101002,570,99.44,203045.17
102,0.55,102002,574,99.44,198406.05
103,0.56,103000,584,99.44,187314.42
104,0.56,104002,590,99.44,199880.75
105,0.57,105003,593,99.44,195515.43
106,0.57,106000,604,99.43,185928.64
107,0.58,107001,607,99.44,200923.54
108,0.58,108001,615,99.43,200291.49
109,0.59,109001,623,99.43,180175.44
110,0.59,110002,626,99.43,199321.04
111,0.6,111002,630,99.44,195538.65
112,0.6,112002,642,99.43,186322.42
113,0.61,113002,646,99.43,192726.37
114,0.61,114001,651,99.43,195033.96
115,0.62,115002,654,99.43,182965.02
116,0.62,116000,660,99.43,182543.95
117,0.63,117001,671,99.43,199529.43
118,0.63,118000,680,99.43,191933.93
119,0.64,119003,685,99.43,184715.12
120,0.64,120003,693,99.43,198565.73
121,0.65,121002,702,99.42,197590.76
122,0.65,122000,704,99.43,185463.69
123,0.66,123002,706,99.43,201567.99
124,0.66,124002,714,99.43,201291.16
125,0.67,125000,716,99.43,189837.43
126,0.67,126001,719,99.43,197632.19
127,0.68,127002,722,99.43,201077.5
128,0.68,128001,727,99.44,191425.36
129,0.69,129002,738,99.43,186932.25
130,0.69,130001,739,99.43,204086.98
131,0.7,131001,743,99.44,193375.01
132,0.71,132001,751,99.43,184950.35
133,0.71,133001,755,99.44,198933.03
134,0.72,134000,756,99.44,196340.83
135,0.72,135001,759,99.44,185127.14
136,0.73,136001,763,99.44,200684.4
137,0.73,137002,766,99.44,198173.24
138,0.74,138001,771,99.44,185100.04
139,0.74,139002,782,99.44,198266.83
140,0.75,140003,789,99.44,200635.49
141,0.75,141003,793,99.44,187304.25
142,0.76,142002,798,99.44,190719.6
143,0.76,143000,808,99.44,201381.48
144,0.77,144001,815,99.44,191834.89
145,0.77,145002,818,99.44,187550.18
146,0.78,146003,825,99.44,199368.36
147,0.78,147000,836,99.43,200841.51
148,0.79,148003,849,99.43,181675.89
149,0.79,149000,852,99.43,200312.37
150,0.8,150003,857,99.43,198419.34
151,0.8,151001,863,99.43,183014.84
152,0.81,152001,871,99.43,197592.88
153,0.81,153003,881,99.43,201693.75
154,0.82,154003,889,99.43,186637.48
155,0.82,155001,891,99.43,192402.8
156,0.83,156000,892,99.43,203423.13
157,0.83,157000,900,99.43,194966.02
158,0.84,158000,908,99.43,186289.32
159,0.84,159003,913,99.43,198260.38
160,0.85,160003,925,99.43,197239.78
161,0.85,161003,933,99.42,184365.01
162,0.86,162003,937,99.42,202300.87
163,0.86,163003,941,99.43,199207.03
164,0.87,164000,944,99.43,186884.21
165,0.88,165002,950,99.43,195856.68
166,0.88,166000,964,99.42,199481.29
167,0.89,167001,971,99.42,188968.33
168,0.89,168003,977,99.42,196167.5
169,0.9,169003,985,99.42,196777.11
170,0.9,170001,991,99.42,197262.74
171,0.91,171001,991,99.42,188609.77
172,0.91,172000,1000,99.42,198639.88
173,0.92,173007,997,99.43,200487.21
174,0.92,174001,1003,99.43,185558.94
175,0.93,175000,1008,99.43,201244.4
176,0.93,176000,1012,99.43,200722.82
177,0.94,177001,1019,99.43,186012.95
178,0.94,178000,1028,99.43,197479.01
179,0.95,179003,1037,99.42,197237.89
180,0.95,180001,1039,99.43,190754.44
181,0.96,181001,1047,99.42,197156.34
182,0.96,182001,1051,99.43,198499.95
183,0.97,183001,1055,99.43,188076.95
184,0.97,184000,1060,99.43,189709.32
185,0.98,185003,1065,99.43,201324.99
186,0.98,186000,1072,99.43,198364.46
187,0.99,187000,1080,99.43,182646.93
188,0.99,188001,1083,99.43,197279.31
189,1.0,189000,1088,99.43,195964.35
190,1.0,190001,1095,99.43,185437.85
191,1.01,191001,1095,99.43,201736.52
192,1.01,192002,1098,99.43,199719.26
193,1.02,193002,1102,99.43,185835.36
194,1.02,194000,1104,99.43,192890.44
195,1.03,195001,1107,99.44,199321.04
196,1.03,196003,1109,99.44,194686.27
197,1.04,197003,1113,99.44,194315.68
198,1.05,198003,1121,99.44,193607.09
199,1.05,199003,1125,99.44,220706.38
200,1.05,200002,1134,99.44,229030.32
201,1.06,201001,1139,99.44,199881.2
202,1.06,202003,1141,99.44,196194.98
203,1.07,203001,1151,99.44,184718.92
204,1.07,204002,1158,99.44,192423.96
205,1.08,205002,1162,99.44,202545.1
206,1.08,206000,1172,99.43,189373.66
207,1.09,207001,1175,99.44,193809.64
208,1.1,208001,1183,99.43,196160.51
209,1.1,209003,1189,99.43,196617.2
210,1.11,210003,1201,99.43,189179.74
211,1.11,211003,1205,99.43,197518.44
212,1.12,212000,1208,99.43,199509.59
213,1.12,213002,1210,99.44,186009.23
214,1.13,214002,1214,99.44,202222.84
215,1.13,215000,1216,99.44,201323.36
216,1.14,216001,1219,99.44,185380.53
217,1.14,217001,1231,99.44,197704.64
218,1.15,218003,1233,99.44,201606.67
219,1.15,219001,1239,99.44,188869.53
220,1.16,220002,1246,99.44,192724.27
221,1.16,221002,1254,99.44,197008.17
222,1.17,222001,1259,99.44,197033.28
223,1.17,223002,1270,99.43,188730.48
224,1.18,224002,1274,99.43,196537.37
225,1.18,225001,1279,99.43,194626.3
226,1.19,226003,1289,99.43,187469.56
227,1.19,227002,1294,99.43,198245.16
228,1.2,228000,1300,99.43,195038.46
229,1.2,229002,1310,99.43,187394.33
230,1.21,230003,1317,99.43,190771.46
231,1.21,231003,1321,99.43,201416.83
232,1.22,232002,1330,99.43,187259.1
233,1.22,233000,1332,99.43,194766.21
234,1.23,234002,1338,99.43,200147.28
235,1.23,235003,1341,99.43,200453.49
236,1.24,236001,1343,99.43,189510.84
237,1.24,237000,1348,99.43,199443.56
238,1.25,238001,1355,99.43,200271.81
239,1.25,239002,1362,99.43,177054.71
240,1.26,240000,1368,99.43,199986.4
241,1.26,241001,1371,99.43,199094.19
242,1.27,242002,1374,99.44,182495.8
243,1.28,243001,1379,99.44,197432.49
244,1.28,244003,1389,99.43,191772.42
245,1.29,245003,1397,99.43,176024.17
246,1.29,246000,1404,99.43,194652.57
247,1.3,247000,1408,99.43,194848.28
248,1.3,248001,1427,99.43,179622.59
249,1.31,249003,1433,99.43,194299.24
250,1.31,250000,1444,99.43,194498.66
251,1.32,251003,1457,99.42,188920.73
252,1.32,252001,1459,99.42,186996.44
253,1.33,253000,1460,99.43,199244.4
254,1.33,254001,1463,99.43,195926.0
255,1.34,255003,1473,99.43,189917.87
256,1.34,256003,1481,99.42,197863.19
257,1.35,257002,1490,99.42,200368.67
258,1.35,258003,1493,99.42,188256.58
259,1.36,259003,1501,99.42,197863.19
260,1.36,260003,1509,99.42,198688.02
261,1.37,261001,1519,99.42,185916.74
262,1.37,262002,1530,99.42,195661.21
263,1.38,263002,1538,99.42,195968.04
264,1.38,264000,1548,99.42,187063.3
265,1.39,265002,1554,99.42,187712.39
266,1.4,266001,1559,99.42,195224.79
267,1.4,267000,1560,99.42,196580.33
268,1.41,268000,1564,99.42,187262.43
269,1.41,269002,1574,99.42,201452.05
270,1.42,270001,1583,99.42,200119.86
271,1.42,271003,1593,99.42,187989.47
272,1.43,272000,1600,99.42,197970.04
273,1.43,273000,1600,99.42,203676.2
274,1.44,274002,1610,99.42,189549.55
275,1.44,275001,1615,99.42,197870.69
276,1.45,276003,1625,99.41,194902.96
277,1.45,277002,1626,99.42,192480.58
278,1.46,278003,1629,99.42,190736.79
279,1.46,279002,1634,99.42,199282.3
280,1.47,280002,1638,99.42,196934.17
281,1.47,281003,1641,99.42,185988.23
282,1.48,282001,1647,99.42,199719.23
283,1.48,283002,1650,99.42,199681.27
284,1.49,284000,1656,99.42,190606.78
285,1.49,285000,1664,99.42,192452.23
286,1.5,286000,1668,99.42,202222.84
287,1.5,287003,1673,99.42,187414.22
288,1.51,288000,1680,99.42,195143.08
289,1.51,289000,1688,99.42,202018.3
290,1.52,290002,1694,99.42,191362.02
291,1.52,291003,1701,99.42,191808.59
292,1.53,292002,1710,99.42,200964.49
293,1.53,293001,1715,99.42,196534.23
294,1.54,294002,1722,99.42,188586.37
295,1.54,295000,1728,99.42,197616.63
296,1.55,296000,1736,99.42,203587.22
297,1.55,297000,1744,99.42,187087.02
298,1.56,298000,1752,99.42,196197.21
299,1.56,299003,1757,99.42,188818.98
300,1.57,300000,1764,99.42,175746.87
301,1.58,301002,1774,99.41,190235.95
302,1.58,302000,1776,99.42,198018.61
303,1.59,303001,1779,99.42,186649.7
304,1.59,304000,1788,99.42,186899.94
305,1.6,305002,1794,99.42,196167.5
306,1.6,306003,1797,99.42,190953.67
307,1.61,307000,1804,99.42,187093.24
308,1.61,308000,1812,99.42,195038.55
309,1.62,309003,1817,99.42,193003.02
310,1.62,310000,1824,99.42,181105.29
311,1.63,311000,1828,99.42,196041.32
312,1.63,312000,1832,99.42,195347.4
313,1.64,313003,1837,99.42,182163.63
314,1.64,314001,1839,99.42,195147.57
315,1.65,315000,1848,99.42,196774.19
316,1.65,316002,1846,99.42,190356.58
317,1.66,317002,1850,99.42,199995.42
318,1.66,318000,1856,99.42,196808.28
319,1.67,319000,1872,99.42,185695.49
320,1.67,320001,1879,99.42,192494.54
321,1.68,321003,1889,99.41,195902.33
322,1.69,322003,1893,99.42,190728.21
323,1.69,323001,1903,99.41,193300.18
324,1.7,324001,1907,99.41,195201.94
325,1.7,325001,1915,99.41,197045.19
326,1.71,326001,1919,99.41,183381.6
327,1.71,327001,1927,99.41,198218.53
328,1.72,328001,1927,99.42,198059.4
329,1.72,329001,1931,99.42,184876.98
330,1.73,330003,1941,99.42,197170.66
